"","Zip Code","$1 under $25,000","$100,000 under $200,000","$200,000 or more","$25,000 under $50,000","$50,000 under $75,000","$75,000 under $100,000","Total"
"1",0,3036960,1404280,650530,2263840,1399600,881490,9636700
"2",10001,3460,3090,3100,2480,1980,1490,15600
"3",10002,17140,4410,2280,8820,5200,3050,40900
"4",10003,4060,6340,6930,3200,3580,3050,27160
"5",10004,300,500,800,190,230,230,2250
"6",10005,630,1420,1650,590,780,650,5720
"7",10006,270,630,610,230,330,270,2340
"8",10007,440,640,1620,280,300,260,3540
"9",10009,7930,5530,2520,6080,5330,3650,31040
"10",10010,2170,3920,4170,1910,2250,1790,16210
"11",10011,4200,6730,8080,3060,3290,2850,28210
"12",10012,1990,2690,2800,1400,1620,1320,11820
"13",10013,3600,2190,3940,1940,1550,1180,14400
"14",10014,2210,4560,5110,1690,2010,1980,17560
"15",10016,4320,7450,7040,3950,4830,3860,31450
"16",10017,1630,2660,3370,1250,1390,1230,11530
"17",10018,1210,1280,1500,940,770,600,6300
"18",10019,4490,5810,5950,3540,3490,2600,25880
"19",10021,2930,4800,7310,2070,2620,2470,22200
"20",10022,2490,4470,6340,1740,2160,1920,19120
"21",10023,5190,7350,10500,3490,3430,3060,33020
"22",10024,4840,6110,8980,3130,3130,2640,28830
"23",10025,10460,7660,8170,7500,5930,3920,43640
"24",10026,5920,2160,1220,4530,2670,1450,17950
"25",10027,9380,2850,1760,6820,3950,1970,26730
"26",10028,3370,5450,6730,2420,3200,2870,24040
"27",10029,13590,2210,990,10090,5270,2210,34360
"28",10030,5370,870,290,4060,2070,930,13590
"29",10031,10680,2000,540,8640,4690,1980,28530
"30",10032,11350,1840,440,8730,4510,1930,28800
"31",10033,10270,2250,840,7520,3850,1780,26510
"32",10034,7540,1730,450,5410,3010,1560,19700
"33",10035,6010,1240,460,4380,2250,1070,15410
"34",10036,3760,3910,3140,2820,2450,1940,18020
"35",10037,3350,1100,170,2830,1960,1100,10510
"36",10038,2900,2390,2110,1870,1550,1130,11950
"37",10039,5390,840,230,3930,2080,900,13370
"38",10040,7970,1720,520,5840,3270,1580,20900
"39",10044,1080,900,590,750,680,460,4460
"40",10065,2020,3240,4720,1690,1890,1480,15040
"41",10069,420,610,1340,260,280,220,3130
"42",10075,1960,3160,3990,1270,1640,1520,13540
"43",10128,4900,6760,8340,3690,4290,3380,31360
"44",10162,80,180,300,40,70,50,720
"45",10280,460,1160,1440,310,410,400,4180
"46",10282,200,340,1140,100,130,110,2020
"47",10301,5600,2760,1080,4300,2820,1820,18380
"48",10302,2990,1140,190,2180,1290,750,8540
"49",10303,4640,1330,150,3570,1940,1100,12730
"50",10304,7260,2480,1090,5350,2840,1690,20710
"51",10305,6370,3330,770,4610,2990,2070,20140
"52",10306,7920,5590,1760,5680,4130,3070,28150
"53",10307,1670,1570,730,1090,870,680,6610
"54",10308,3330,3300,930,2540,2040,1650,13790
"55",10309,3760,3680,1460,2700,2150,1720,15470
"56",10310,3830,1870,620,2690,1760,1030,11800
"57",10312,7340,7190,2340,5300,4290,3500,29960
"58",10314,11520,8360,2390,8500,6210,4640,41620
"59",10451,10490,1000,90,8230,3600,1250,24660
"60",10452,17970,830,50,12490,4630,1390,37360
"61",10453,19330,770,40,12860,4420,1320,38740
"62",10454,7820,420,60,5240,1890,540,15970
"63",10455,8560,420,40,6480,2380,710,18590
"64",10456,20560,850,30,13880,4690,1430,41440
"65",10457,16800,740,50,11310,3920,1200,34020
"66",10458,16690,1040,60,11420,4460,1510,35180
"67",10459,10240,580,30,7490,2780,890,22010
"68",10460,12420,720,40,9030,3220,1060,26490
"69",10461,7700,3090,450,6710,4530,2360,24840
"70",10462,13950,3040,230,11770,7670,3530,40190
"71",10463,10740,4880,1810,8160,5570,3250,34410
"72",10464,540,460,200,370,340,270,2180
"73",10465,5790,3380,730,4660,3450,2350,20360
"74",10466,12580,2400,210,10390,5340,2340,33260
"75",10467,19180,2220,160,14690,7170,2730,46150
"76",10468,16900,1200,90,11840,4710,1700,36440
"77",10469,11600,3370,430,9440,5570,2860,33270
"78",10470,2480,1000,200,2020,1420,690,7810
"79",10471,2170,2180,1300,1520,1560,1280,10010
"80",10472,13370,1020,80,9440,3900,1360,29170
"81",10473,11010,2030,180,8910,4610,2120,28860
"82",10474,2360,120,0,1730,640,220,5070
"83",10475,6450,2320,140,6400,5010,2550,22870
"84",10501,160,140,160,90,80,70,700
"85",10502,540,650,930,270,210,230,2830
"86",10504,870,620,1680,380,310,240,4100
"87",10505,240,150,160,140,100,50,840
"88",10506,600,430,1150,220,210,150,2760
"89",10507,840,420,390,470,350,230,2700
"90",10509,2720,2210,1060,1720,1310,1020,10040
"91",10510,940,1000,1770,460,440,320,4930
"92",10511,330,250,110,200,170,130,1190
"93",10512,3040,3060,1120,2220,1850,1460,12750
"94",10514,1080,810,2600,400,330,270,5490
"95",10516,590,700,440,410,330,280,2750
"96",10518,180,150,200,90,60,60,740
"97",10520,1390,1400,1330,890,800,580,6390
"98",10522,1100,1200,1240,690,680,510,5420
"99",10523,1300,960,320,1080,750,560,4970
"100",10524,470,530,390,290,230,200,2110
"101",10526,210,210,230,130,110,80,970
"102",10527,90,90,130,50,40,30,430
"103",10528,1370,1080,1300,910,730,600,5990
"104",10530,1280,1850,1250,940,1030,880,7230
"105",10532,540,640,410,340,340,270,2540
"106",10533,680,770,1230,380,350,310,3720
"107",10535,100,60,30,90,60,50,390
"108",10536,1120,990,1710,520,480,350,5170
"109",10537,320,280,40,270,200,130,1240
"110",10538,1570,1240,3340,710,740,570,8170
"111",10541,3240,3240,1390,2070,1710,1390,13040
"112",10543,2540,1850,1950,1540,1190,870,9940
"113",10546,140,150,220,60,70,60,700
"114",10547,920,860,370,620,540,390,3700
"115",10548,400,420,150,270,260,180,1680
"116",10549,2360,1340,1640,1340,900,650,8230
"117",10550,7460,1420,130,6310,3220,1470,20010
"118",10552,2660,2040,770,2370,2000,1350,11190
"119",10553,1900,750,100,1760,1020,580,6110
"120",10560,500,470,490,300,230,180,2170
"121",10562,4340,3000,1530,3290,2270,1590,16020
"122",10566,4020,1820,480,3180,1960,1210,12670
"123",10567,2290,2510,1620,1450,1180,960,10010
"124",10570,1340,1190,1760,650,630,490,6060
"125",10573,6050,2530,2130,4210,2490,1480,18890
"126",10576,510,490,900,250,190,170,2510
"127",10577,350,200,600,140,140,100,1530
"128",10578,120,120,50,70,50,30,440
"129",10579,990,1140,600,670,590,480,4470
"130",10580,1810,1180,3390,720,640,510,8250
"131",10583,3620,3250,7470,1630,1530,1280,18780
"132",10588,340,370,140,180,180,140,1350
"133",10589,800,1340,820,540,570,550,4620
"134",10590,690,760,860,330,340,260,3240
"135",10591,3070,2000,1850,2450,1560,1000,11930
"136",10594,550,610,490,350,350,230,2580
"137",10595,680,810,690,390,430,290,3290
"138",10597,100,80,210,40,30,20,480
"139",10598,3320,3970,2490,1920,1710,1390,14800
"140",10601,1570,1040,800,1210,860,610,6090
"141",10603,2460,1940,880,1910,1530,1130,9850
"142",10604,1560,980,770,1020,810,550,5690
"143",10605,2180,2210,2310,1370,1220,920,10210
"144",10606,2670,1210,820,1920,1180,680,8480
"145",10607,960,870,540,750,530,420,4070
"146",10701,11160,3300,780,8040,4590,2500,30370
"147",10703,3550,1600,300,2720,1740,1090,11000
"148",10704,4480,3170,690,3800,3170,2070,17380
"149",10705,7250,1780,530,5350,2740,1450,19100
"150",10706,860,980,1280,470,480,430,4500
"151",10707,1130,1240,1010,730,650,540,5300
"152",10708,2130,2570,2780,1260,1500,1230,11470
"153",10709,1140,1120,1030,590,650,500,5030
"154",10710,3270,3160,1050,2590,2320,1740,14130
"155",10801,6300,2870,1160,4380,2780,1750,19240
"156",10803,1330,1110,1940,660,570,460,6070
"157",10804,1410,1490,2570,620,600,490,7180
"158",10805,2500,1580,490,2010,1630,1080,9290
"159",10901,2950,2390,1440,1920,1540,1180,11420
"160",10913,590,610,500,310,310,240,2560
"161",10916,540,600,260,340,260,240,2240
"162",10917,310,210,110,200,140,90,1060
"163",10918,1530,1410,470,980,810,620,5820
"164",10919,170,130,30,130,80,60,600
"165",10920,1120,1110,530,750,600,480,4590
"166",10921,600,500,170,450,320,260,2300
"167",10923,1390,850,230,1150,820,510,4950
"168",10924,1640,1480,720,1130,850,670,6490
"169",10925,630,550,130,450,390,290,2440
"170",10926,480,360,100,430,350,200,1920
"171",10927,2700,490,120,1860,760,370,6300
"172",10928,670,330,60,630,390,230,2310
"173",10930,1180,1060,450,710,560,460,4420
"174",10940,8230,3600,620,6660,3960,2550,25620
"175",10941,2190,1250,270,1750,1190,790,7440
"176",10950,6330,3290,1300,3680,2190,1630,18420
"177",10952,5230,1540,1160,2870,1350,830,12980
"178",10954,3240,2850,1140,2190,1720,1300,12440
"179",10956,3820,3940,2960,2100,1780,1430,16030
"180",10958,470,350,120,280,240,180,1640
"181",10960,1950,1460,980,1470,1050,760,7670
"182",10962,640,630,440,400,320,250,2680
"183",10963,360,280,50,270,180,150,1290
"184",10964,140,160,180,110,90,60,740
"185",10965,1750,2060,1100,1140,1030,850,7930
"186",10968,210,310,240,180,140,140,1220
"187",10969,180,130,50,120,80,80,640
"188",10970,1440,1030,410,1160,810,580,5430
"189",10973,290,280,90,200,170,130,1160
"190",10974,480,410,140,310,260,160,1760
"191",10975,40,30,0,40,30,20,160
"192",10976,300,140,70,130,130,70,840
"193",10977,9870,2390,890,6590,2950,1580,24270
"194",10980,1810,1590,680,1310,990,750,7130
"195",10983,670,820,490,350,380,300,3010
"196",10984,330,330,130,250,180,140,1360
"197",10985,40,40,0,30,40,0,150
"198",10986,250,210,110,180,140,100,990
"199",10987,620,390,330,240,210,150,1940
"200",10989,1040,1250,570,740,690,570,4860
"201",10990,2470,2410,1190,1560,1210,1050,9890
"202",10992,1240,1280,320,860,660,550,4910
"203",10993,980,290,30,730,400,220,2650
"204",10994,910,960,690,470,440,360,3830
"205",10996,400,300,60,110,110,200,1180
"206",10998,390,460,120,290,220,170,1650
"207",11001,3700,3200,1620,2400,1930,1430,14280
"208",11003,7400,3540,510,6580,4080,2570,24680
"209",11004,1830,1400,350,1350,1050,860,6840
"210",11005,150,470,310,140,160,180,1410
"211",11010,3270,3010,930,2300,1970,1450,12930
"212",11020,820,530,780,460,290,220,3100
"213",11021,1970,1990,2130,1170,1090,950,9300
"214",11023,990,750,1050,540,410,370,4110
"215",11024,880,520,810,400,330,220,3160
