"ZIP
code [1]",Size of adjusted gross income,Number of returns [2]
0,Total,"9,636,700"
0,"$1 under $25,000","3,036,960"
0,"$25,000 under $50,000","2,263,840"
0,"$50,000 under $75,000","1,399,600"
0,"$75,000 under $100,000","881,490"
0,"$100,000 under $200,000","1,404,280"
0,"$200,000 or more","650,530"
10001,Total,"15,600"
10001,"$1 under $25,000","3,460"
10001,"$25,000 under $50,000","2,480"
10001,"$50,000 under $75,000","1,980"
10001,"$75,000 under $100,000","1,490"
10001,"$100,000 under $200,000","3,090"
10001,"$200,000 or more","3,100"
10002,Total,"40,900"
10002,"$1 under $25,000","17,140"
10002,"$25,000 under $50,000","8,820"
10002,"$50,000 under $75,000","5,200"
10002,"$75,000 under $100,000","3,050"
10002,"$100,000 under $200,000","4,410"
10002,"$200,000 or more","2,280"
10003,Total,"27,160"
10003,"$1 under $25,000","4,060"
10003,"$25,000 under $50,000","3,200"
10003,"$50,000 under $75,000","3,580"
10003,"$75,000 under $100,000","3,050"
10003,"$100,000 under $200,000","6,340"
10003,"$200,000 or more","6,930"
10004,Total,"2,250"
10004,"$1 under $25,000",300
10004,"$25,000 under $50,000",190
10004,"$50,000 under $75,000",230
10004,"$75,000 under $100,000",230
10004,"$100,000 under $200,000",500
10004,"$200,000 or more",800
10005,Total,"5,720"
10005,"$1 under $25,000",630
10005,"$25,000 under $50,000",590
10005,"$50,000 under $75,000",780
10005,"$75,000 under $100,000",650
10005,"$100,000 under $200,000","1,420"
10005,"$200,000 or more","1,650"
10006,Total,"2,340"
10006,"$1 under $25,000",270
10006,"$25,000 under $50,000",230
10006,"$50,000 under $75,000",330
10006,"$75,000 under $100,000",270
10006,"$100,000 under $200,000",630
10006,"$200,000 or more",610
10007,Total,"3,540"
10007,"$1 under $25,000",440
10007,"$25,000 under $50,000",280
10007,"$50,000 under $75,000",300
10007,"$75,000 under $100,000",260
10007,"$100,000 under $200,000",640
10007,"$200,000 or more","1,620"
10009,Total,"31,040"
10009,"$1 under $25,000","7,930"
10009,"$25,000 under $50,000","6,080"
10009,"$50,000 under $75,000","5,330"
10009,"$75,000 under $100,000","3,650"
10009,"$100,000 under $200,000","5,530"
10009,"$200,000 or more","2,520"
10010,Total,"16,210"
10010,"$1 under $25,000","2,170"
10010,"$25,000 under $50,000","1,910"
10010,"$50,000 under $75,000","2,250"
10010,"$75,000 under $100,000","1,790"
10010,"$100,000 under $200,000","3,920"
10010,"$200,000 or more","4,170"
10011,Total,"28,210"
